enrollment_id,participant_id,cohort_id,program_id,program_name,program_category,program_goal,delivery_language,delivery_mode,trainer_id,cohort_state,start_date,end_date,cohort_month,state,city,age_band,gender,employment_status,primary_device,digital_confidence,acquisition_channel,motivation,attendance_rate,risk_band,completion_status,completed_flag,pre_score,post_score,score_improvement,satisfaction_score,recommendation_score,employment_outcome,ticket_count,avg_resolution_hours,support_sla_rate
EN00001,PT0325,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Johor,Johor Bahru,25-34,Male,Job seeker,Mobile,High,Community partner,Employer requirement,1.0,On track,Completed,1,66.7,99.6,32.9,4.0,7.0,New role,1,13.7,1.0
EN00002,PT0338,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Penang,George Town,25-34,Female,Job seeker,Mobile,Medium,Organic,Digital confidence,0.625,Watch,Completed,1,61.3,82.2,20.9,3.0,4.0,No change reported,0,,
EN00003,PT0469,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Kuala Lumpur,South,25-34,Female,Student,Shared device,Medium,Referral,Job search,0.375,High risk,Completed,1,46.6,56.2,9.6,2.0,2.0,New role,1,40.4,1.0
EN00004,PT0126,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Penang,George Town,18-24,Male,Job seeker,Mobile,Medium,Organic,Career growth,0.875,On track,Completed,1,51.6,73.8,22.2,4.0,8.0,No change reported,2,33.4,1.0
EN00005,PT0440,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Johor,Muar,18-24,Female,Employed,Mobile,Low,Organic,Employer requirement,0.5,Watch,Dropped,0,40.7,63.3,22.6,3.0,5.0,Not measured,0,,
EN00006,PT0426,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Sabah,Kota Kinabalu,18-24,Female,Job seeker,Laptop/Desktop,High,Referral,Digital confidence,1.0,On track,Completed,1,47.2,76.0,28.8,5.0,10.0,No change reported,0,,
EN00007,PT0455,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Selangor,Klang,18-24,Male,Job seeker,Mobile,Medium,Organic,Job search,0.875,On track,Completed,1,56.5,83.7,27.2,4.0,5.0,New role,0,,
EN00008,PT0345,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Penang,Seberang Perai,25-34,Male,Job seeker,Mobile,Medium,Community partner,Career growth,0.625,Watch,Completed,1,61.3,80.0,18.7,3.0,6.0,New role,0,,
EN00009,PT0772,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Selangor,Petaling,18-24,Female,Employed,Mobile,Low,Community partner,Digital confidence,0.75,On track,Completed,1,60.5,86.9,26.4,,,New role,0,,
EN00010,PT0442,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Selangor,Shah Alam,25-34,Male,Employed,Mobile,Low,Community partner,Career growth,0.875,On track,Completed,1,31.5,58.4,26.9,4.0,8.0,New role,0,,
EN00011,PT0395,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Kuala Lumpur,North,35-44,Male,Job seeker,Mobile,Low,Employer,Digital confidence,0.75,On track,Dropped,0,42.2,63.2,21.0,,,Not measured,0,,
EN00012,PT0555,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Selangor,Petaling,25-34,Female,Student,Laptop/Desktop,Medium,Community partner,Job search,1.0,On track,Completed,1,47.3,75.8,28.5,5.0,10.0,Interview secured,0,,
EN00013,PT0239,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Sarawak,Miri,35-44,Male,Job seeker,Laptop/Desktop,Medium,Organic,Job search,0.75,On track,Dropped,0,42.9,57.1,14.2,4.0,6.0,Not measured,0,,
EN00014,PT0453,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Selangor,Klang,45+,Male,Employed,Mobile,High,Organic,Career growth,1.0,On track,Completed,1,75.0,94.1,19.1,,,Interview secured,0,,
EN00015,PT0339,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Sabah,Sandakan,25-34,Male,Employed,Shared device,Low,Community partner,Job search,0.75,On track,In progress / incomplete,0,32.4,52.4,20.0,5.0,10.0,Not measured,0,,
EN00016,PT0216,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Penang,Seberang Perai,25-34,Male,Student,Laptop/Desktop,High,Community partner,Employer requirement,1.0,On track,Completed,1,88.0,100.0,12.0,5.0,10.0,No change reported,0,,
EN00017,PT0565,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Penang,Seberang Perai,35-44,Male,Student,Mobile,High,Community partner,Digital confidence,0.875,On track,Completed,1,26.1,52.4,26.3,3.0,6.0,No change reported,0,,
EN00018,PT0427,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Kuala Lumpur,South,35-44,Female,Job seeker,Mobile,High,Community partner,Career growth,0.875,On track,Completed,1,64.3,89.6,25.3,4.0,5.0,No change reported,0,,
EN00019,PT0030,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Johor,Johor Bahru,25-34,Female,Job seeker,Laptop/Desktop,Medium,Community partner,Digital confidence,1.0,On track,Completed,1,33.6,57.6,24.0,4.0,9.0,Interview secured,0,,
EN00020,PT0140,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Selangor,Klang,18-24,Male,Student,Shared device,Low,Organic,Employer requirement,0.625,Watch,Completed,1,52.4,79.5,27.1,4.0,9.0,New role,3,43.1,0.6667
EN00021,PT0229,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Selangor,Shah Alam,18-24,Male,Job seeker,Laptop/Desktop,High,Community partner,Job search,1.0,On track,Completed,1,73.8,100.0,26.2,4.0,7.0,Interview secured,1,17.6,1.0
EN00022,PT0405,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Sarawak,Miri,25-34,Female,Employed,Mobile,Low,Organic,Job search,0.625,Watch,Completed,1,48.0,81.0,33.0,3.0,2.0,Interview secured,0,,
EN00023,PT0657,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Sarawak,Miri,35-44,Male,Self-employed,Mobile,Medium,Organic,Job search,0.875,On track,Completed,1,50.8,75.4,24.6,4.0,10.0,New role,0,,
EN00024,PT0282,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Penang,George Town,25-34,Female,Job seeker,Mobile,High,Referral,Career growth,0.875,On track,Completed,1,37.6,61.3,23.7,3.0,4.0,No change reported,0,,
EN00025,PT0198,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Sarawak,Kuching,35-44,Female,Employed,Mobile,Low,Referral,Digital confidence,0.625,Watch,Completed,1,63.8,78.3,14.5,4.0,7.0,No change reported,1,25.0,1.0
EN00026,PT0543,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Selangor,Klang,25-34,Female,Job seeker,Mobile,Medium,Community partner,Employer requirement,0.875,On track,Completed,1,62.0,84.5,22.5,4.0,8.0,No change reported,1,14.5,1.0
